counter,value
177,60000.0
178,60000.0
179,60000.0
180,15000.0
181,10000.0
182,2400.0
183,2800.0
184,3000.0
185,59000.0
186,60000.0
187,160.0
188,160.0
189,160.0
190,160.0
191,150.0
192,43000.0
193,43000.0
194,140.0
195,60000.0
196,60000.0
197,60000.0
198,60000.0
199,150.0
200,38000.0
201,38000.0
202,150.0
203,150.0
204,59000.0
205,60000.0
206,60000.0
207,60000.0
208,60000.0
209,60000.0
210,2600.0
211,2800.0
212,3900.0
213,4200.0
214,150.0
215,150.0
216,150.0
217,150.0
218,150.0
219,150.0
220,150.0
221,150.0
222,59000.0
223,60000.0
224,60000.0
225,60000.0
226,200.0
227,160.0
228,160.0
229,160.0
230,150.0
231,150.0
232,150.0
233,150.0
234,60000.0
235,60000.0
236,60000.0
237,60000.0
238,60000.0
239,3700.0
240,160.0
241,170.0
242,170.0
243,170.0
244,160.0
245,160.0
246,46000.0
247,47000.0
248,60000.0
249,60000.0
250,60000.0
251,60000.0
252,59000.0
253,59000.0
254,160.0
255,170.0
256,170.0
257,160.0
258,60000.0
259,60000.0
260,60000.0
261,60000.0
262,60000.0
263,60000.0
264,60000.0
265,32000.0
266,20000.0
267,19000.0
268,8900.0
269,170.0
270,180.0
271,60000.0
272,59000.0
273,59000.0
274,60000.0
275,60000.0
276,160.0
277,60000.0
278,60000.0
279,60000.0
280,60000.0
281,160.0
282,160.0
283,60000.0
284,60000.0
285,60000.0
286,60000.0
287,60000.0
288,60000.0
289,60000.0
290,60000.0
291,60000.0
292,60000.0
293,170.0
294,160.0
295,59000.0
296,60000.0
297,60000.0
298,60000.0
299,63000.0
300,64000.0
301,65000.0
302,62000.0
303,62000.0
304,61000.0
305,70000.0
306,70000.0
307,77000.0
308,82000.0
309,91000.0
310,92000.0
311,63000.0
312,53000.0
313,350.0
314,60000.0
315,60000.0
316,60000.0
317,61000.0
318,60000.0
319,60000.0
320,60000.0
321,60000.0
322,60000.0
323,60000.0
324,170.0
325,170.0
326,170.0
327,60000.0
328,60000.0
329,60000.0
330,60000.0
331,60000.0
332,60000.0
333,60000.0
334,60000.0
335,60000.0
336,180.0
337,210.0
338,210.0
339,60000.0
340,60000.0
341,60000.0
342,60000.0
343,60000.0
344,60000.0
345,60000.0
346,60000.0
347,60000.0
348,60000.0
349,170.0
350,180.0
351,60000.0
352,60000.0
353,60000.0
354,60000.0
355,60000.0
356,60000.0
357,60000.0
358,60000.0
359,60000.0
360,60000.0
361,180.0
362,170.0
363,230.0
364,60000.0
365,60000.0
366,60000.0
367,60000.0
368,60000.0
369,60000.0
370,60000.0
371,60000.0
372,60000.0
373,180.0
374,170.0
375,180.0
376,60000.0
377,60000.0
378,60000.0
379,60000.0
380,60000.0
381,60000.0
382,60000.0
383,60000.0
384,180.0
385,170.0
386,29000.0
387,29000.0
388,180.0
389,170.0
390,180.0
391,60000.0
392,60000.0
393,60000.0
394,60000.0
395,60000.0
396,190.0
397,180.0
398,60000.0
399,60000.0
400,60000.0
401,160.0
402,52000.0
403,60000.0
404,60000.0
405,60000.0
406,60000.0
407,60000.0
408,17000.0
409,17000.0
410,27000.0
411,29000.0
412,29000.0
413,39000.0
414,39000.0
415,220.0
416,60000.0
417,60000.0
418,60000.0
419,60000.0
420,60000.0
421,59000.0
422,23000.0
423,59000.0
424,59000.0
425,34000.0
426,60000.0
427,38000.0
428,43000.0
429,60000.0
430,60000.0
431,60000.0
432,59000.0
433,59000.0
434,60000.0
435,59000.0
436,59000.0
437,46000.0
438,42000.0
439,47000.0
440,24000.0
441,10000.0
442,12000.0
443,14000.0
444,15000.0
445,16000.0
446,18000.0
447,19000.0
448,20000.0
449,20000.0
450,20000.0
451,20000.0
452,20000.0
453,19000.0
454,23000.0
455,23000.0
456,23000.0
457,22000.0
458,21000.0
459,21000.0
460,18000.0
461,7400.0
462,740.0
463,440.0
464,290.0
465,320.0
466,230.0
467,330.0
468,56000.0
469,53000.0
470,590.0
471,870.0
472,700.0
473,460.0
474,930.0
475,1700.0
476,930.0
477,840.0
478,1400.0
479,1400.0
480,60000.0
